IndustryCode,Origin,Dest,tau_nodist,TEC,Desc
BS323000,ON,AB,1,0.00%, Printing and Related Support Activities
BS324110,ON,AB,1,0.00%, Petroleum Refineries
BS3241A0,ON,AB,1,0.00%, Petroleum Refineries
BS325100,ON,AB,1,0.00%, Basic Chemical Manufacturing
BS325200,ON,AB,1,0.00%," Resin, Synthetic Rubber, and Artificial and Synthetic Fibres and Filaments Manufacturing"
BS325300,ON,AB,1,0.00%," Pesticides, Fertilizer and Other Agricultural Chemical Manufacturing"
BS325400,ON,AB,1,0.00%, Pharmaceutical and Medicine Manufacturing
BS325500,ON,AB,1,0.00%, Pharmaceutical and Medicine Manufacturing
BS325600,ON,AB,1,0.00%," Soap, Cleaning Compound and Toilet Preparation Manufacturing"
BS325900,ON,AB,1,0.00%, Other Chemical Product Manufacturing
BS326100,ON,AB,1,0.00%, Plastic Product Manufacturing
BS326200,ON,AB,1,0.00%, Rubber Product Manufacturing
BS327A00,ON,AB,1,0.00%, Non-Metallic Mineral Product Manufacturing (except Cement and Concrete Products)
BS327300,ON,AB,1,0.00%, Rubber Product Manufacturing
BS331100,ON,AB,1,0.00%, Primary Metal Manufacturing
BS331200,ON,AB,1,0.00%, Iron and Steel Mills and Ferro-Alloy Manufacturing
BS331300,ON,AB,1,0.00%, Steel Product Manufacturing from Purchased Steel
BS331400,ON,AB,1,0.00%, Alumina and Aluminum Production and Processing
BS331500,ON,AB,1,0.00%, Non-Ferrous Metal (except Aluminum) Production and Processing
BS332100,ON,AB,1,0.00%, Fabricated Metal Product Manufacturing
BS332A00,ON,AB,1,0.00%," Coating, Engraving, Heat Treating and Allied Activities"
BS332300,ON,AB,1,0.00%, Forging and Stamping
BS332400,ON,AB,1,0.00%, Architectural and Structural Metals Manufacturing
BS332500,ON,AB,1,0.00%, Hardware Manufacturing
BS332600,ON,AB,1,0.00%, Spring and Wire Product Manufacturing
BS332700,ON,AB,1,0.00%," Machine shops, turned product, and screw, nut and bolt manufacturing"
BS332800,ON,AB,1,0.00%," Coating, Engraving, Heat Treating and Allied Activities"
BS333100,ON,AB,1,0.00%," Agricultural, construction and mining machinery manufacturing"
BS333200,ON,AB,1,0.00%, Industrial Machinery Manufacturing
BS333300,ON,AB,1,0.00%, Industrial Machinery Manufacturing
BS333400,ON,AB,1,0.00%, Commercial and Service Industry Machinery Manufacturing
BS333500,ON,AB,1,0.00%," Ventilation, Heating, Air-Conditioning and Commercial Refrigeration Equipment Manufacturing"
BS333600,ON,AB,1,0.00%, Metalworking Machinery Manufacturing
BS333900,ON,AB,1,0.00%," Engine, Turbine and Power Transmission Equipment Manufacturing"
BS334100,ON,AB,1,0.00%, Computer and Peripheral Equipment Manufacturing
BS334200,ON,AB,1,0.00%, Communications Equipment Manufacturing
BS334A00,ON,AB,1,0.00%, Semiconductor and Other Electronic Component Manufacturing
BS334400,ON,AB,1,0.00%, Semiconductor and Other Electronic Component Manufacturing
BS335100,ON,AB,1,0.00%, Semiconductor and Other Electronic Component Manufacturing
BS335200,ON,AB,1,0.00%, Electric Lighting Equipment Manufacturing
BS335300,ON,AB,1,0.00%, Electrical Equipment Manufacturing
BS335900,ON,AB,1,0.00%, Household Appliance Manufacturing
BS336110,ON,AB,1.019277379,1.93%, Automobile and Light-Duty Motor Vehicle Manufacturing
BS336120,ON,AB,1,0.00%, Heavy-Duty Truck Manufacturing
BS336200,ON,AB,1,0.00%, Motor Vehicle Body and Trailer Manufacturing
BS336310,ON,AB,1,0.00%, Motor Vehicle Parts Manufacturing
BS336320,ON,AB,1.059906275,5.99%, Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
BS336330,ON,AB,1.237489554,23.75%, Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
BS336340,ON,AB,1,0.00%, Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
BS336350,ON,AB,1,0.00%, Motor Vehicle Brake System Manufacturing
BS336360,ON,AB,1.016355359,1.64%, Motor Vehicle Seating and Interior Trim Manufacturing
BS336370,ON,AB,1,0.00%, Motor Vehicle Seating and Interior Trim Manufacturing
BS336390,ON,AB,1,0.00%, Motor vehicle metal stamping
BS336400,ON,AB,1,0.00%, Aerospace Product and Parts Manufacturing
BS336500,ON,AB,1,0.00%, Railroad Rolling Stock Manufacturing
BS336600,ON,AB,1,0.00%, Ship and Boat Building
BS336900,ON,AB,1,0.00%, Other Transportation Equipment Manufacturing
BS337100,ON,AB,1,0.00%, Furniture and Related Product Manufacturing
BS337200,ON,AB,1,0.00%, Household and Institutional Furniture and Kitchen Cabinet Manufacturing
BS337900,ON,AB,1,0.00%, Office Furniture (including Fixtures) Manufacturing
BS339100,ON,AB,1,0.00%, Miscelleneous Manufacturing
BS339900,ON,AB,1,0.00%, Medical Equipment and Supplies Manufacturing
BS411000,ON,AB,1,0.00%, Farm Product Wholesaler-Distributors
BS412000,ON,AB,1,0.00%, Farm Product Wholesaler-Distributors
BS413000,ON,AB,1,0.00%, Petroleum Product Wholesaler-Distributors
BS414000,ON,AB,1,0.00%, Personal and Household Goods Wholesaler-Distributors
BS415000,ON,AB,1,0.00%, Personal and Household Goods Wholesaler-Distributors
BS416000,ON,AB,1,0.00%, Motor Vehicle and Parts Wholesaler-Distributors
BS417000,ON,AB,1,0.00%," Machinery, Equipment and Supplies Wholesaler-Distributors"
BS418000,ON,AB,1,0.00%, Miscellaneous Wholesaler-Distributors
BS419000,ON,AB,1,0.00%," Wholesale electronic markets, and agents and brokers"
BS441000,ON,AB,1.095427258,9.54%," Wholesale electronic markets, and agents and brokers"
BS442000,ON,AB,1.351685642,35.17%," Wholesale electronic markets, and agents and brokers"
BS443000,ON,AB,1,0.00%, Electronics and Appliance Stores
BS444000,ON,AB,1.408503019,40.85%, Electronics and Appliance Stores
BS445000,ON,AB,1.627732625,62.77%, Building material and garden equipment and supplies dealers
BS446000,ON,AB,1.429182655,42.92%, Health and Personal Care Stores
BS447000,ON,AB,1.305282341,30.53%, Health and Personal Care Stores
BS448000,ON,AB,1.121918928,12.19%, Gasoline Stations
BS451000,ON,AB,1.30086383,30.09%," Sporting goods, hobby, book and music stores"
BS452000,ON,AB,1.240059234,24.01%, General Merchandise Stores
BS453A00,ON,AB,1.515185975,51.52%, Miscellaneous store retailers
BS454000,ON,AB,1.530112989,53.01%, Miscellaneous store retailers
BS481000,ON,AB,1.037634742,3.76%, Non-Store Retailers
BS482000,ON,AB,1,0.00%, Rail Transportation
BS483000,ON,AB,1,0.00%, Water Transportation
BS484000,ON,AB,1,0.00%, Truck Transportation
BS485100,ON,AB,1.186031648,18.60%, Truck Transportation
BS48A000,ON,AB,1.08939362,8.94%, Urban Transit Systems
BS485300,ON,AB,1,0.00%, Urban Transit Systems
BS486A00,ON,AB,1,0.00%, Urban Transit Systems
BS486200,ON,AB,1,0.00%, Urban Transit Systems
BS488000,ON,AB,1,0.00%, Urban Transit Systems
BS491000,ON,AB,1,0.00%, Pipeline Transportation of Natural Gas
BS492000,ON,AB,1,0.00%, Couriers and Messengers
BS493000,ON,AB,1,0.00%, Warehousing and Storage
BS511110,ON,AB,1,0.00%, Information and Cultural Industries
BS5111A0,ON,AB,1,0.00%, Information and Cultural Industries
BS511200,ON,AB,1,0.00%, Information and Cultural Industries
BS5121A0,ON,AB,1,0.00%, Motion Picture and Sound Recording Industries
BS512130,ON,AB,1,0.00%, Motion Picture and Sound Recording Industries
BS512200,ON,AB,1,0.00%, Motion Picture and Video Exhibition
BS515100,ON,AB,1.193698377,19.37%, Radio and Television Broadcasting
BS515200,ON,AB,1,0.00%, Software Publishers
BS517000,ON,AB,1.765460811,76.55%, Pay and Specialty Television
BS518000,ON,AB,1,0.00%," Data Processing, Hosting, and Related Services"
BS519000,ON,AB,1.036620102,3.66%," Data Processing, Hosting, and Related Services"
BS521000,ON,AB,1,0.00%," Data Processing, Hosting, and Related Services"
BS5221A0,ON,AB,1.262178123,26.22%," Data Processing, Hosting, and Related Services"
BS522130,ON,AB,1.475075012,47.51%," Data Processing, Hosting, and Related Services"
BS522200,ON,AB,1,0.00%, Local Credit Unions
BS522300,ON,AB,1,0.00%, Local Credit Unions
BS52A000,ON,AB,1,0.00%, Insurance Carriers
BS524100,ON,AB,1,0.00%, Insurance Carriers
BS524200,ON,AB,1,0.00%, Insurance Carriers
BS531100,ON,AB,1.33824587,33.82%, Lessors of Real Estate
BS531A00,ON,AB,1,0.00%," Agencies, Brokerages and Other Insurance Related Activities"
BS5311A0,ON,AB,1,0.00%," Agencies, Brokerages and Other Insurance Related Activities"
BS532100,ON,AB,1,0.00%, Owner-Occupied Dwellings
BS532A00,ON,AB,1,0.00%, Owner-Occupied Dwellings
BS533000,ON,AB,1,0.00%, Owner-Occupied Dwellings
BS541100,ON,AB,1,0.00%," Professional, Scientific and Technical Services"
BS541200,ON,AB,1,0.00%," Accounting, Tax Preparation, Bookkeeping and Payroll Services"
BS541300,ON,AB,1,0.00%," Architectural, Engineering and Related Services"
BS541400,ON,AB,1.031247254,3.12%," Architectural, Engineering and Related Services"
BS541500,ON,AB,1,0.00%, Specialized Design Services
BS541600,ON,AB,1.005733888,0.57%, Specialized Design Services
BS541700,ON,AB,1.112683507,11.27%," Management, Scientific and Technical Consulting Services"
BS541800,ON,AB,1,0.00%," Advertising, Public Relations and Related Services"
BS541900,ON,AB,1,0.00%," Advertising, Public Relations, and Related Services"
BS551113,ON,AB,1,0.00%," Advertising, Public Relations, and Related Services"
BS561100,ON,AB,1,0.00%, Office administrative Services
BS561A00,ON,AB,1.029172404,2.92%, Services to Buildings and Dwellings
BS561300,ON,AB,1,0.00%, Office administrative Services
BS561400,ON,AB,1.348943093,34.89%, Business Support Services
BS561500,ON,AB,1,0.00%, Business Support Services
BS561600,ON,AB,1,0.00%, Travel Arrangement and Reservation Services
BS561700,ON,AB,1,0.00%, Investigation and Security Services
BS562000,ON,AB,1.085330698,8.53%, Waste Management and Remediation Services
BS610000,ON,AB,1,0.00%, Educational Services
BS621100,ON,AB,6.163395469,516.34%, Offices of Physicians
BS621200,ON,AB,1.33810008,33.81%, Offices of Dentists
BS621A00,ON,AB,1.091858568,9.19%, Offices of Dentists
BS623000,ON,AB,2.366430648,136.64%, Miscellaneous Ambulatory Health Care Services
BS624000,ON,AB,1,0.00%, Nursing and Residential Care Facilities
BS71A000,ON,AB,1,0.00%, Gambling Industries
BS713A00,ON,AB,1.052361523,5.24%," Arts, Entertainment and Recreation"
BS713200,ON,AB,1.135127341,13.51%," Arts, Entertainment and Recreation"
BS721100,ON,AB,1.052735381,5.27%, Traveller Accommodation
BS721A00,ON,AB,1.092383281,9.24%, Traveller Accommodation
BS722000,ON,AB,1.303907944,30.39%," RV (Recreational Vehicle) Parks, Recreational Camps, and Rooming and Boarding Houses"
BS811100,ON,AB,1.20254426,20.25%, Repair and maintenance
BS811A00,ON,AB,1,0.00%, Automotive Repair and Maintenance
BS812A00,ON,AB,1.155111154,15.51%, Repair and Maintenance (except Automotive)
BS812200,ON,AB,2.392847524,139.28%, Repair and Maintenance (except Automotive)
BS812300,ON,AB,1.022421911,2.24%, Repair and Maintenance (except Automotive)
BS813000,ON,AB,1.062752368,6.28%, Dry Cleaning and Laundry Services
BS814000,ON,AB,1,0.00%, Professional and Similar Organizations
NP610000,ON,AB,2.150031938,115.00%, Non-Profit Education Services
NP621000,ON,AB,2.587976393,158.80%, Educational Services
NP624000,ON,AB,2.497054622,149.71%, Social Assistance
NP710000,ON,AB,1.337016949,33.70%," Arts, Entertainment and Recreation"
NP813100,ON,AB,1.674424178,67.44%, Religious Organizations
NP813A00,ON,AB,1.863882925,86.39%, Religious Organizations
NP999999,ON,AB,1.436798923,43.68%, Religious Organizations
GS611100,ON,AB,3.653261788,265.33%, Government Education Services
GS611200,ON,AB,1,0.00%, Elementary and Secondary Schools
GS611300,ON,AB,1.177320179,17.73%, Community Colleges and C.E.G.E.P.s
GS611A00,ON,AB,1,0.00%, Community Colleges and C.E.G.E.P.s
GS622000,ON,AB,1.486858559,48.69%, Hospitals
GS623000,ON,AB,2.95730844,195.73%, Nursing and Residential Care Facilities
GS911100,ON,AB,4.326269354,332.63%, Defence Services
GS911A00,ON,AB,1.22537357,22.54%, Other federal government services (except defence)
GS912000,ON,AB,1.32985974,32.99%, Other Provincial and Territorial Government Services
GS913000,ON,AB,1.634897848,63.49%, Other Municipal Government Services
GS914000,ON,AB,3.879389913,287.94%, Other Aboriginal Government Services
BS111A00,QC,AB,1,0.00%,#N/A
BS1114A0,QC,AB,1,0.00%,#N/A
BS112A00,QC,AB,1,0.00%, Animal Production
BS112500,QC,AB,1,0.00%, Animal Production
BS113000,QC,AB,1.112221226,11.22%, Forestry and Logging
BS114000,QC,AB,1,0.00%," Fishing, Hunting and Trapping"
BS115A00,QC,AB,1.243237966,24.32%, Support Activities for Forestry
BS115300,QC,AB,3.364204359,236.42%, Support Activities for Forestry
BS211110,QC,AB,1,0.00%, Oil and Gas Extraction
BS211140,QC,AB,1,0.00%, Non-Conventional Oil Extraction
BS212100,QC,AB,1.160280378,16.03%, Coal Mining
BS212210,QC,AB,1.102077426,10.21%, Iron Ore Mining
BS212220,QC,AB,1.014094219,1.41%, Iron Ore Mining
BS212230,QC,AB,1.022158564,2.22%, Gold and Silver Ore Mining
BS212290,QC,AB,1.024688561,2.47%," Copper, Nickel, Lead and Zinc Ore Mining"
BS212310,QC,AB,1,0.00%, Stone Mining and Quarrying
BS212320,QC,AB,1,0.00%," Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
BS212392,QC,AB,1.208694865,20.87%, Diamond Mining
BS21239A,QC,AB,1,0.00%, Other Non-Metallic Mineral Mining and Quarrying (except diamond and potash)
BS212396,QC,AB,1,0.00%, Diamond Mining
BS21311A,QC,AB,1,0.00%, Support Activities for Oil and Gas Extraction
BS21311B,QC,AB,1,0.00%, Support Activities for Oil and Gas Extraction
BS221100,QC,AB,1.233210756,23.32%," Electric Power Generation, Transmission and Distribution"
BS221200,QC,AB,2.448384643,144.84%," Electric Power Generation, Transmission and Distribution"
BS221300,QC,AB,1,0.00%, Natural Gas Distribution
BS23A000,QC,AB,1,0.00%, Residential Building Construction
BS23B000,QC,AB,1,0.00%, Non-Residential Building Construction
BS23C100,QC,AB,1,0.00%, Transportation Engineering Construction
BS23C200,QC,AB,1,0.00%, Oil and Gas Engineering Construction
BS23C300,QC,AB,1,0.00%, Electric Power Engineering Construction
BS23C400,QC,AB,1,0.00%, Communication Engineering Construction
BS23C500,QC,AB,1,0.00%, Other Engineering Construction
BS23D000,QC,AB,1,0.00%, Repair Construction
BS23E000,QC,AB,1.115908512,11.59%, Other Activities of the Construction Industry
BS311100,QC,AB,1,0.00%, Animal Food Manufacturing
BS311200,QC,AB,1,0.00%, Animal Food Manufacturing
BS311300,QC,AB,1,0.00%, Sugar and Confectionery Product Manufacturing
BS311400,QC,AB,1,0.00%, Fruit and Vegetable Preserving and Specialty Food Manufacturing
BS311500,QC,AB,1,0.00%, Dairy Product Manufacturing
BS311600,QC,AB,1,0.00%, Meat Product Manufacturing
BS311700,QC,AB,1,0.00%, Grain and Oilseed Milling
BS311800,QC,AB,1,0.00%, Grain and Oilseed Milling
BS311900,QC,AB,1,0.00%, Bakeries and Tortilla Manufacturing
BS312110,QC,AB,1,0.00%, Soft Drink and Ice Manufacturing
BS312120,QC,AB,1,0.00%, Breweries
